epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,9105.46,1.40347,0.73886,1.10602,0.86372,0.83081,0.87613,0.53594,1.29829,0.71167,1.111,0.008812,0.008812,0.008812
38,9351.1,1.39558,0.73693,1.1066,0.85956,0.83465,0.88033,0.54036,1.29405,0.70064,1.11181,0.008779,0.008779,0.008779
39,9596.63,1.39848,0.72935,1.10381,0.84891,0.83461,0.87222,0.53729,1.29415,0.70922,1.10815,0.008746,0.008746,0.008746
40,9841.65,1.39081,0.73199,1.10159,0.86135,0.82049,0.87043,0.53641,1.29118,0.70274,1.10687,0.008713,0.008713,0.008713
41,10086.4,1.39455,0.72772,1.10638,0.86749,0.82565,0.87614,0.54107,1.28936,0.69842,1.10631,0.00868,0.00868,0.00868
42,10331.6,1.38974,0.72405,1.10513,0.86465,0.82226,0.87397,0.54002,1.28616,0.699,1.10665,0.008647,0.008647,0.008647
43,10576.3,1.38676,0.72527,1.10615,0.86909,0.82341,0.87483,0.53714,1.28941,0.70272,1.10918,0.008614,0.008614,0.008614
44,10821.1,1.3842,0.72164,1.10134,0.86221,0.83523,0.87608,0.54107,1.28708,0.68998,1.10627,0.008581,0.008581,0.008581
45,11066.8,1.38465,0.7233,1.10045,0.87167,0.8334,0.87967,0.54643,1.27993,0.68851,1.10271,0.008548,0.008548,0.008548
46,11312,1.38679,0.72266,1.09896,0.86683,0.83421,0.87822,0.54649,1.28093,0.69393,1.10337,0.008515,0.008515,0.008515
47,11556.2,1.37854,0.71891,1.09941,0.87053,0.82792,0.87655,0.54208,1.28275,0.69338,1.10261,0.008482,0.008482,0.008482
48,11801.3,1.3869,0.72001,1.09578,0.86389,0.83299,0.87497,0.54265,1.28016,0.68799,1.09883,0.008449,0.008449,0.008449
49,12045.9,1.3807,0.71481,1.09874,0.87281,0.82814,0.87674,0.54506,1.27549,0.68382,1.09875,0.008416,0.008416,0.008416
50,12291.1,1.38215,0.71312,1.09603,0.86502,0.83407,0.87811,0.54491,1.27593,0.68336,1.099,0.008383,0.008383,0.008383
51,12535.9,1.37633,0.7131,1.09346,0.85992,0.84444,0.87917,0.5468,1.27458,0.6844,1.09478,0.00835,0.00835,0.00835
52,12781.6,1.37874,0.71094,1.09547,0.86493,0.84029,0.87898,0.54589,1.27326,0.68349,1.0932,0.008317,0.008317,0.008317
53,13026.5,1.37038,0.70445,1.09415,0.86804,0.83999,0.87715,0.54336,1.27498,0.68587,1.09627,0.008284,0.008284,0.008284
54,13271.3,1.37405,0.70904,1.09725,0.862,0.84012,0.87669,0.54476,1.27403,0.68296,1.09732,0.008251,0.008251,0.008251
55,13516.7,1.37468,0.7045,1.09202,0.86266,0.84488,0.87718,0.54573,1.27313,0.68297,1.09493,0.008218,0.008218,0.008218
56,13761.5,1.37299,0.70909,1.09337,0.86243,0.84424,0.88116,0.54881,1.27641,0.68033,1.09688,0.008185,0.008185,0.008185
57,14006.1,1.36386,0.7045,1.0963,0.86427,0.84101,0.88014,0.54824,1.27737,0.67915,1.09762,0.008152,0.008152,0.008152
58,14251,1.3726,0.70216,1.09288,0.86217,0.84279,0.87909,0.54801,1.27786,0.68277,1.09984,0.008119,0.008119,0.008119
59,14496.1,1.3731,0.70459,1.09383,0.85936,0.84205,0.87987,0.54608,1.27683,0.68128,1.0988,0.008086,0.008086,0.008086
60,14740.8,1.36883,0.70266,1.09331,0.86074,0.842,0.88006,0.54693,1.27422,0.67992,1.09832,0.008053,0.008053,0.008053
61,14985.4,1.37445,0.70494,1.09016,0.86927,0.84184,0.88315,0.55,1.27396,0.67556,1.09795,0.00802,0.00802,0.00802
62,15231,1.36681,0.69799,1.08872,0.86375,0.84487,0.883,0.54976,1.27323,0.67432,1.09731,0.007987,0.007987,0.007987
63,15476.6,1.36389,0.6997,1.08695,0.86817,0.84178,0.8842,0.55089,1.27235,0.67266,1.09606,0.007954,0.007954,0.007954
64,15721.5,1.36869,0.7019,1.09355,0.86991,0.84152,0.88343,0.55018,1.27302,0.67222,1.0973,0.007921,0.007921,0.007921
65,15966.4,1.36174,0.69702,1.08899,0.87212,0.84387,0.88248,0.55103,1.2726,0.67223,1.09695,0.007888,0.007888,0.007888
66,16211,1.365,0.69572,1.08774,0.87187,0.83974,0.88326,0.5506,1.27217,0.67001,1.09737,0.007855,0.007855,0.007855
67,16455.8,1.35523,0.69264,1.08588,0.86571,0.84299,0.88352,0.55085,1.27163,0.67021,1.0976,0.007822,0.007822,0.007822
68,16699.6,1.35899,0.69515,1.08541,0.86998,0.84411,0.88347,0.55038,1.2722,0.67061,1.09749,0.007789,0.007789,0.007789
69,16942.9,1.35672,0.68979,1.08689,0.86813,0.84267,0.88361,0.55066,1.27178,0.66842,1.09785,0.007756,0.007756,0.007756
70,17187.6,1.36087,0.69179,1.08439,0.86627,0.8495,0.88428,0.55084,1.2712,0.66734,1.09748,0.007723,0.007723,0.007723
71,17432.4,1.3611,0.68933,1.08319,0.86215,0.85041,0.88352,0.55088,1.27128,0.66697,1.09721,0.00769,0.00769,0.00769
72,17676.7,1.35339,0.68256,1.0843,0.86648,0.84475,0.88236,0.55019,1.27075,0.66697,1.0964,0.007657,0.007657,0.007657
73,17921.2,1.35174,0.68615,1.08421,0.86411,0.84587,0.88225,0.55177,1.27062,0.66743,1.0964,0.007624,0.007624,0.007624
74,18165.3,1.3524,0.68746,1.08425,0.86413,0.8487,0.88163,0.55154,1.27041,0.66747,1.09619,0.007591,0.007591,0.007591
75,18409.4,1.35171,0.68851,1.08303,0.86477,0.84875,0.88217,0.55221,1.2691,0.66699,1.09522,0.007558,0.007558,0.007558
76,18653.6,1.35497,0.68515,1.08051,0.86422,0.84711,0.88195,0.55174,1.26832,0.66651,1.09444,0.007525,0.007525,0.007525
77,18897.4,1.34627,0.68196,1.08144,0.86496,0.84526,0.88204,0.55226,1.26722,0.66682,1.09363,0.007492,0.007492,0.007492
78,19141.8,1.35509,0.68481,1.07985,0.86607,0.84322,0.88298,0.55223,1.26687,0.66629,1.09279,0.007459,0.007459,0.007459
79,19386,1.35481,0.68313,1.08267,0.86551,0.84263,0.88215,0.55177,1.26684,0.66537,1.0927,0.007426,0.007426,0.007426
80,19629.9,1.3443,0.68184,1.08292,0.8666,0.83994,0.88142,0.55161,1.26685,0.6645,1.09292,0.007393,0.007393,0.007393
81,19874.3,1.34435,0.68335,1.08291,0.86665,0.84305,0.88141,0.55235,1.26656,0.6644,1.09286,0.00736,0.00736,0.00736
82,20118.2,1.34564,0.67508,1.08152,0.86599,0.84277,0.88147,0.55208,1.26621,0.66516,1.09295,0.007327,0.007327,0.007327
83,20362,1.33867,0.67374,1.07913,0.86527,0.84301,0.88123,0.55215,1.26632,0.66495,1.09315,0.007294,0.007294,0.007294
84,20605.8,1.35204,0.68119,1.08463,0.86703,0.84203,0.8815,0.55241,1.2661,0.66461,1.09312,0.007261,0.007261,0.007261
85,20849.6,1.34169,0.67714,1.0792,0.86862,0.84191,0.88228,0.5527,1.2657,0.66473,1.09258,0.007228,0.007228,0.007228
86,21094.3,1.34998,0.67811,1.07961,0.86763,0.84321,0.88258,0.55313,1.26581,0.66472,1.0926,0.007195,0.007195,0.007195
87,21338.7,1.34163,0.67314,1.07897,0.8677,0.84088,0.88229,0.55287,1.26594,0.66402,1.09263,0.007162,0.007162,0.007162
88,21583.4,1.33703,0.67185,1.07925,0.86727,0.84121,0.88222,0.55288,1.26601,0.66345,1.09266,0.007129,0.007129,0.007129
89,21827.7,1.34107,0.67174,1.07925,0.86948,0.83989,0.88174,0.55316,1.26592,0.66279,1.09269,0.007096,0.007096,0.007096
90,22071,1.33632,0.67198,1.0793,0.87061,0.83719,0.88183,0.55317,1.26577,0.6617,1.09267,0.007063,0.007063,0.007063
91,22315.2,1.34508,0.67243,1.0793,0.87006,0.83695,0.88199,0.55307,1.26539,0.66141,1.09252,0.00703,0.00703,0.00703
92,22559.3,1.34223,0.66774,1.07649,0.86935,0.84003,0.88163,0.55304,1.26501,0.66125,1.09247,0.006997,0.006997,0.006997
93,22803.1,1.33879,0.67042,1.07784,0.87027,0.83771,0.88221,0.55357,1.26482,0.66068,1.09255,0.006964,0.006964,0.006964
