epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.54,1.46665,0.91311,1.28352,0.82667,0.80077,0.82223,0.48101,1.38451,0.84944,1.33074,0.000416023,0.000416023,0.000416023
2,853.966,1.46601,0.90209,1.29219,0.86667,0.74114,0.79148,0.46086,1.40482,0.92178,1.36685,0.000822385,0.000822385,0.000822385
3,1283.2,1.45784,0.93072,1.29193,0.87447,0.72521,0.78883,0.46253,1.39482,0.8954,1.36915,0.00121843,0.00121843,0.00121843
4,1697.09,1.47169,0.92929,1.30373,0.84645,0.75797,0.81631,0.47441,1.38961,0.90238,1.35496,0.00120359,0.00120359,0.00120359
5,2112.02,1.46881,0.91883,1.30215,0.84129,0.7767,0.80712,0.46518,1.41033,0.90916,1.37596,0.00118812,0.00118812,0.00118812
6,2526.21,1.44942,0.90862,1.29297,0.84729,0.78138,0.83025,0.48196,1.38175,0.86792,1.3492,0.00117266,0.00117266,0.00117266
7,2939.93,1.43878,0.90147,1.2844,0.83409,0.7871,0.82779,0.47232,1.391,0.88298,1.35569,0.00115719,0.00115719,0.00115719
8,3354.65,1.44939,0.88151,1.277,0.85286,0.77642,0.83381,0.47784,1.38472,0.8472,1.33999,0.00114172,0.00114172,0.00114172
9,3768.91,1.43429,0.88456,1.27404,0.84688,0.77524,0.81463,0.46666,1.40391,0.87461,1.34707,0.00112625,0.00112625,0.00112625
10,4182.92,1.42265,0.86506,1.26843,0.83105,0.79807,0.83357,0.48324,1.38289,0.8537,1.34126,0.00111078,0.00111078,0.00111078
11,4596.82,1.42062,0.87194,1.26835,0.83894,0.78199,0.81916,0.48621,1.38098,0.88027,1.34025,0.00109531,0.00109531,0.00109531
12,5010.69,1.41346,0.86303,1.27425,0.85296,0.7952,0.83333,0.49237,1.37965,0.85316,1.33729,0.00107984,0.00107984,0.00107984
13,5424.65,1.40692,0.85894,1.26215,0.8364,0.81145,0.83847,0.48202,1.38677,0.86696,1.3417,0.00106437,0.00106437,0.00106437
14,5839.16,1.41479,0.85127,1.26526,0.82978,0.80168,0.83873,0.49374,1.37193,0.87295,1.33503,0.00104891,0.00104891,0.00104891
15,6254.02,1.41748,0.85584,1.26228,0.86599,0.78106,0.82838,0.484,1.37335,0.84719,1.33388,0.00103344,0.00103344,0.00103344
16,6668.45,1.40803,0.84966,1.25318,0.83875,0.81379,0.82498,0.47479,1.38213,0.86319,1.33833,0.00101797,0.00101797,0.00101797
17,7083.99,1.40257,0.84147,1.25295,0.8589,0.78701,0.82561,0.48134,1.37892,0.87539,1.34468,0.0010025,0.0010025,0.0010025
18,7500.72,1.38653,0.82771,1.24925,0.8629,0.78589,0.83271,0.48878,1.36345,0.82604,1.33704,0.000987031,0.000987031,0.000987031
19,7915.48,1.39016,0.8319,1.24473,0.86812,0.79428,0.8391,0.49633,1.37225,0.84148,1.33543,0.000971562,0.000971562,0.000971562
20,8329.18,1.37575,0.8214,1.24573,0.84974,0.80565,0.83775,0.49582,1.37668,0.84661,1.33055,0.000956094,0.000956094,0.000956094
21,8742.18,1.37334,0.82976,1.24315,0.83964,0.81421,0.84135,0.49775,1.36708,0.82186,1.32253,0.000940625,0.000940625,0.000940625
22,9155.5,1.37623,0.82188,1.23744,0.84049,0.81836,0.8428,0.49988,1.36262,0.83463,1.33017,0.000925156,0.000925156,0.000925156
23,9569.37,1.3713,0.80773,1.24164,0.85043,0.79697,0.84048,0.49177,1.36861,0.81401,1.32837,0.000909688,0.000909688,0.000909688
24,9983.41,1.37826,0.81732,1.2363,0.85726,0.81245,0.83638,0.48773,1.37118,0.84995,1.33112,0.000894219,0.000894219,0.000894219
