epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.508,1.46763,0.82925,1.28692,0.83257,0.78787,0.83126,0.48237,1.3941,0.83452,1.36006,0.000416023,0.000416023,0.000416023
2,358.198,1.46557,0.84886,1.28782,0.8384,0.7628,0.8166,0.46673,1.41674,0.85482,1.38709,0.000822385,0.000822385,0.000822385
3,531.199,1.4582,0.87019,1.29257,0.84867,0.75217,0.81807,0.47104,1.41257,0.8507,1.40123,0.00121843,0.00121843,0.00121843
4,700.862,1.47406,0.87764,1.30265,0.85056,0.75739,0.81472,0.46166,1.41582,0.85774,1.39318,0.00120359,0.00120359,0.00120359
5,870.184,1.47091,0.86545,1.29961,0.83094,0.79263,0.83554,0.47785,1.41265,0.8694,1.4032,0.00118812,0.00118812,0.00118812
6,1041.1,1.45118,0.85726,1.29167,0.82435,0.76921,0.8172,0.46772,1.39925,0.8646,1.36469,0.00117266,0.00117266,0.00117266
7,1212.56,1.43887,0.84766,1.28378,0.81309,0.81076,0.83126,0.46953,1.39507,0.85661,1.36215,0.00115719,0.00115719,0.00115719
8,1383.25,1.4519,0.82781,1.27415,0.83985,0.80282,0.84242,0.48398,1.37502,0.81275,1.34387,0.00114172,0.00114172,0.00114172
9,1554.55,1.43407,0.82966,1.26865,0.8435,0.79178,0.83022,0.47444,1.39601,0.83393,1.36273,0.00112625,0.00112625,0.00112625
10,1727.98,1.4237,0.81167,1.26879,0.83319,0.80069,0.84224,0.47469,1.41401,0.83541,1.38778,0.00111078,0.00111078,0.00111078
11,1897.59,1.42515,0.82481,1.27409,0.83861,0.7973,0.8378,0.48184,1.3902,0.84408,1.36606,0.00109531,0.00109531,0.00109531
12,2066.98,1.41122,0.81818,1.27568,0.84741,0.78914,0.84586,0.49427,1.37324,0.8121,1.34839,0.00107984,0.00107984,0.00107984
13,2237.54,1.40937,0.80144,1.26555,0.84562,0.7916,0.83812,0.47874,1.38614,0.83803,1.36158,0.00106437,0.00106437,0.00106437
14,2407.69,1.4188,0.79905,1.27058,0.82149,0.82229,0.8485,0.4904,1.37569,0.81939,1.36517,0.00104891,0.00104891,0.00104891
15,2577.95,1.41883,0.80102,1.26735,0.84578,0.80285,0.84721,0.49082,1.362,0.81246,1.33705,0.00103344,0.00103344,0.00103344
16,2749.13,1.4097,0.79297,1.25427,0.84462,0.80849,0.84832,0.49103,1.38071,0.7906,1.37211,0.00101797,0.00101797,0.00101797
17,2918.6,1.40579,0.79176,1.25683,0.8383,0.80159,0.83904,0.47996,1.37064,0.80559,1.3583,0.0010025,0.0010025,0.0010025
18,3089.83,1.38733,0.77933,1.25262,0.84279,0.81244,0.84725,0.48934,1.36266,0.78765,1.35384,0.000987031,0.000987031,0.000987031
19,3260.68,1.39157,0.77971,1.25013,0.84795,0.81265,0.85427,0.49686,1.36914,0.79371,1.36359,0.000971562,0.000971562,0.000971562
20,3430.95,1.37601,0.77589,1.25025,0.85432,0.80322,0.84982,0.49566,1.37505,0.7846,1.36938,0.000956094,0.000956094,0.000956094
21,3601.26,1.37027,0.77449,1.2491,0.83724,0.79639,0.83748,0.48884,1.35929,0.80129,1.34369,0.000940625,0.000940625,0.000940625
22,3771.94,1.37907,0.76569,1.24875,0.83221,0.82273,0.84448,0.49812,1.36954,0.78291,1.36717,0.000925156,0.000925156,0.000925156
23,3941.87,1.37653,0.76115,1.24733,0.82942,0.82097,0.83938,0.49479,1.36793,0.79694,1.36117,0.000909688,0.000909688,0.000909688
24,4111.72,1.37986,0.75822,1.24462,0.83953,0.80723,0.8435,0.49183,1.36646,0.81458,1.35737,0.000894219,0.000894219,0.000894219
25,4281.21,1.3711,0.76056,1.24337,0.847,0.80654,0.84757,0.49842,1.36067,0.77974,1.35078,0.00087875,0.00087875,0.00087875
26,4453.37,1.36434,0.75414,1.23792,0.86652,0.79953,0.85389,0.50033,1.36168,0.79292,1.35101,0.000863281,0.000863281,0.000863281
27,4623.17,1.3746,0.75805,1.2395,0.85571,0.8033,0.84455,0.50019,1.35114,0.77286,1.33593,0.000847813,0.000847813,0.000847813
28,4793.68,1.35853,0.7406,1.2311,0.87229,0.80118,0.85703,0.50359,1.35162,0.7656,1.34458,0.000832344,0.000832344,0.000832344
29,4963.06,1.34641,0.74709,1.23943,0.84319,0.79614,0.84169,0.49402,1.35938,0.79664,1.34848,0.000816875,0.000816875,0.000816875
30,5131.6,1.3449,0.74327,1.23525,0.85786,0.81262,0.85822,0.50456,1.35078,0.76608,1.34904,0.000801406,0.000801406,0.000801406
31,5303.87,1.36057,0.73899,1.22807,0.85624,0.819,0.85743,0.5069,1.34506,0.75193,1.33595,0.000785938,0.000785938,0.000785938
32,5475.77,1.3466,0.74304,1.22742,0.85113,0.80075,0.84721,0.49334,1.36077,0.78034,1.35187,0.000770469,0.000770469,0.000770469
33,5648.31,1.33687,0.73307,1.2266,0.86693,0.7999,0.84133,0.49337,1.35217,0.77461,1.34454,0.000755,0.000755,0.000755
34,5817.86,1.3418,0.73224,1.22303,0.84517,0.83075,0.85259,0.49715,1.35934,0.77043,1.33481,0.000739531,0.000739531,0.000739531
35,5988.4,1.32833,0.72083,1.2201,0.83492,0.83666,0.85498,0.50354,1.35566,0.77954,1.34104,0.000724062,0.000724062,0.000724062
36,6159.33,1.33511,0.72393,1.22109,0.84185,0.81012,0.84892,0.50292,1.35612,0.77084,1.34202,0.000708594,0.000708594,0.000708594
37,6330.97,1.33449,0.71577,1.21362,0.83914,0.81739,0.84316,0.49422,1.33977,0.77419,1.32974,0.000693125,0.000693125,0.000693125
38,6501.21,1.32761,0.71899,1.20986,0.83729,0.82131,0.84248,0.49935,1.3571,0.77243,1.34662,0.000677656,0.000677656,0.000677656
39,6670.91,1.32673,0.71726,1.21403,0.85019,0.82212,0.84923,0.50032,1.35738,0.77221,1.3439,0.000662188,0.000662188,0.000662188
