epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,8328.71,1.37531,0.68265,1.25042,0.84131,0.82565,0.86253,0.51298,1.36594,0.76014,1.3403,0.000956094,0.000956094,0.000956094
21,8742.35,1.36987,0.68064,1.24701,0.86896,0.78865,0.85673,0.50789,1.36454,0.76505,1.32571,0.000940625,0.000940625,0.000940625
22,9156.27,1.37952,0.67769,1.24738,0.83654,0.8211,0.85375,0.50635,1.36477,0.75095,1.33657,0.000925156,0.000925156,0.000925156
23,9570.24,1.37207,0.671,1.24449,0.85411,0.81296,0.86067,0.51,1.35952,0.75224,1.32811,0.000909688,0.000909688,0.000909688
24,9984.43,1.37931,0.6752,1.24124,0.85693,0.80329,0.85934,0.50514,1.36471,0.76397,1.33211,0.000894219,0.000894219,0.000894219
25,10398.5,1.36924,0.67114,1.23932,0.84664,0.82161,0.86468,0.51196,1.36635,0.73166,1.32853,0.00087875,0.00087875,0.00087875
26,10812.9,1.36125,0.66062,1.23302,0.85657,0.82138,0.86761,0.51466,1.35309,0.74863,1.31905,0.000863281,0.000863281,0.000863281
27,11228.1,1.37264,0.67128,1.23812,0.83186,0.8292,0.85598,0.50799,1.36322,0.74935,1.33615,0.000847813,0.000847813,0.000847813
28,11642.1,1.35614,0.64886,1.23151,0.84401,0.81963,0.86895,0.52218,1.34776,0.72823,1.32692,0.000832344,0.000832344,0.000832344
29,12056.1,1.34594,0.65676,1.23826,0.82257,0.8244,0.85829,0.51183,1.36036,0.75899,1.32425,0.000816875,0.000816875,0.000816875
30,12469.7,1.34362,0.65073,1.23132,0.84802,0.81571,0.86428,0.5153,1.35755,0.73697,1.33017,0.000801406,0.000801406,0.000801406
31,12883.9,1.35888,0.64871,1.22878,0.84638,0.81328,0.86969,0.52178,1.34522,0.73513,1.32254,0.000785938,0.000785938,0.000785938
32,13297.9,1.34462,0.64632,1.22529,0.83379,0.82292,0.86016,0.51076,1.36061,0.74168,1.32008,0.000770469,0.000770469,0.000770469
33,13729.6,1.33556,0.63826,1.22307,0.87002,0.80642,0.87005,0.52078,1.35082,0.72646,1.32217,0.000755,0.000755,0.000755
34,14145.5,1.33947,0.64056,1.22086,0.85819,0.79779,0.86113,0.50921,1.35976,0.74189,1.32305,0.000739531,0.000739531,0.000739531
35,14559,1.32679,0.62912,1.21919,0.85322,0.81888,0.87131,0.52165,1.35314,0.72235,1.31751,0.000724062,0.000724062,0.000724062
36,14973.9,1.33439,0.63519,1.21737,0.86879,0.80931,0.86439,0.52111,1.35487,0.72708,1.32068,0.000708594,0.000708594,0.000708594
37,15388.8,1.33465,0.632,1.21319,0.85912,0.80803,0.86062,0.51825,1.34607,0.74488,1.31551,0.000693125,0.000693125,0.000693125
