epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17463,1.32367,0.61934,1.20344,0.85011,0.82105,0.8647,0.51979,1.35079,0.71368,1.3182,0.000615781,0.000615781,0.000615781
43,17877.7,1.31283,0.6134,1.19741,0.86348,0.80876,0.86392,0.52374,1.34351,0.7186,1.30999,0.000600313,0.000600313,0.000600313
44,18292.7,1.30627,0.6083,1.19978,0.86033,0.81522,0.87368,0.52483,1.34585,0.7186,1.31421,0.000584844,0.000584844,0.000584844
45,18706.1,1.30041,0.6048,1.20383,0.8583,0.82774,0.8682,0.52287,1.34637,0.72461,1.31395,0.000569375,0.000569375,0.000569375
46,19120.4,1.31942,0.6121,1.20338,0.84865,0.82235,0.86852,0.52474,1.34639,0.71701,1.31443,0.000553906,0.000553906,0.000553906
47,19535.3,1.30085,0.59986,1.19576,0.84696,0.83367,0.87194,0.52649,1.34675,0.72096,1.31916,0.000538438,0.000538438,0.000538438
48,19949.8,1.30544,0.60045,1.193,0.84201,0.84031,0.86736,0.52177,1.34166,0.72117,1.31436,0.000522969,0.000522969,0.000522969
49,20363.8,1.29059,0.60278,1.19285,0.85129,0.82812,0.86353,0.52097,1.34501,0.71773,1.311,0.0005075,0.0005075,0.0005075
50,20777.7,1.29197,0.59146,1.19343,0.83821,0.83818,0.86715,0.52483,1.34772,0.7143,1.31796,0.000492031,0.000492031,0.000492031
51,21191.7,1.2814,0.59456,1.18717,0.87447,0.79933,0.86391,0.52097,1.343,0.71547,1.31438,0.000476562,0.000476562,0.000476562
52,21605.8,1.29368,0.59386,1.19278,0.85663,0.81403,0.86887,0.52709,1.34129,0.70411,1.31471,0.000461094,0.000461094,0.000461094
53,22019.6,1.27285,0.58958,1.18582,0.84861,0.82403,0.86732,0.52415,1.34119,0.71735,1.31759,0.000445625,0.000445625,0.000445625
54,22433.3,1.26386,0.5801,1.18046,0.84927,0.82151,0.86295,0.52602,1.33798,0.71767,1.30765,0.000430156,0.000430156,0.000430156
